Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot Cases//1M pop,Tot Deaths/1M pop,Death percentage,Latitude,Longitude
Afghanistan,Afghanistan,AFG,40462186,Asia,177827,7671,4395,190,4.313743132,34.51666667,69.183333
Albania,Albania,ALB,2872296,Europe,273870,3492,95349,1216,1.275057509,41.31666667,19.816667
Algeria,Algeria,DZA,45236699,Africa,265691,6874,5873,152,2.587215976,36.75,3.05
Andorra,Andorra,AND,77481,Europe,40024,153,516565,1975,0.382270638,42.5,1.516667
Angola,Angola,AGO,34654212,Africa,99194,1900,2862,55,1.915438434,-8.833333333,13.216667
Anguilla,Anguilla,AIA,15237,Latin America and the Caribbean,2700,9,177200,591,0.333333333,18.21666667,-63.05
Antigua and Barbuda,Antigua and Barbuda,ATG,99348,Latin America and the Caribbean,7493,135,75422,1359,1.801681569,17.11666667,-61.85
Argentina,Argentina,ARG,45921761,Latin America and the Caribbean,9041124,128065,196881,2789,1.416472111,-34.58333333,-58.666667
Armenia,Armenia,ARM,2972939,Asia,422574,8617,142140,2898,2.039169471,40.16666667,44.5
Aruba,Aruba,ABW,107560,Latin America and the Caribbean,34051,212,316577,1971,0.622595518,12.51666667,-70.033333
Australia,Australia,AUS,26017767,Oceania,4680816,6384,179908,245,0.136386476,-35.26666667,149.133333
Austria,Austria,AUT,9096360,Europe,3887355,15985,427353,1757,0.411205048,48.2,16.366667
Azerbaijan,Azerbaijan,AZE,10299156,Asia,792061,9697,76905,942,1.224274393,40.38333333,49.866667
Bahamas,Bahamas,BHM,399822,Latin America and the Caribbean,33295,788,83275,1971,2.36672173,25.08333333,-77.35
Bahrain,Bahrain,BHR,1804995,Asia,556241,1471,308168,815,0.264453717,26.23333333,50.566667
Bangladesh,Bangladesh,BGD,167561502,Asia,1951770,29122,11648,174,1.492081546,23.71666667,90.4
Barbados,Barbados,BRB,287991,Latin America and the Caribbean,59938,375,208125,1302,0.625646501,13.1,-59.616667
Belarus,Belarus,BLR,9443882,Europe,965322,6844,102217,725,0.708986224,53.9,27.566667
Belgium,Belgium,BEL,11677924,Europe,3851048,30826,329772,2640,0.800457434,50.83333333,4.333333
Belize,Belize,BLZ,410260,Latin America and the Caribbean,57289,656,139641,1599,1.14507148,17.25,-88.766667
Benin,Benin,BEN,12678649,Africa,26952,163,2126,13,0.604778866,6.483333333,2.616667
Bermuda,Bermuda,BMU,61875,Northern America,12564,128,203055,2069,1.018783827,32.28333333,-64.783333
Bhutan,Bhutan,BTN,786480,Asia,31437,12,39972,15,0.038171581,27.46666667,89.633333
Bolivia,Bolivia (Plurinational State of),BOL,11951714,Latin America and the Caribbean,902448,21896,75508,1832,2.426289382,-16.5,-68.15
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,3245097,Europe,375693,15719,115773,4844,4.184001299,43.86666667,18.416667
Botswana,Botswana,BWA,2434708,Africa,305526,2686,125488,1103,0.879139582,-24.63333333,25.9
Brazil,Brazil,BRA,215204501,Latin America and the Caribbean,29999816,660269,139401,3068,2.200910166,-15.78333333,-47.916667
British Virgin Islands,British Virgin Islands,VGB,30583,Latin America and the Caribbean,6155,62,201256,2027,1.007311129,-7.3,72.4
Brunei,Brunei Darussalam,BRN,444812,Asia,135974,213,305689,479,0.156647594,18.41666667,-64.616667
Bulgaria,Bulgaria,BGR,6856886,Europe,1140679,36568,166355,5333,3.205809873,4.883333333,114.933333
Burkina Faso,Burkina Faso,BFA,21905848,Africa,20853,382,952,17,1.831870714,42.68333333,23.316667
Burundi,Burundi,BDI,12510155,Africa,38519,38,3079,3,0.098652613,12.36666667,-1.516667
Cambodia,Cambodia,KHM,17123941,Asia,135747,3054,7927,178,2.249773476,-3.366666667,29.35
Cameroon,Cameroon,CMR,27701805,Africa,119544,1927,4315,70,1.611958777,11.55,104.916667
Canada,Canada,CAN,38321435,Northern America,3499226,37690,91312,984,1.077095335,3.866666667,11.516667
Cape Verde,Cabo Verde,CPV,566557,Africa,55960,401,98772,708,0.716583274,45.41666667,-75.7
Cayman Islands,Cayman Islands,CYM,67073,Latin America and the Caribbean,20606,24,307218,358,0.116470931,14.91666667,-23.516667
Chad,Chad,TCD,17250246,Africa,7308,191,424,11,2.613574165,19.3,-81.383333
Chile,Chile,CHL,19403451,Latin America and the Caribbean,3486653,56750,179692,2925,1.627635443,12.1,15.033333
China,China,CHN,1439323776,Asia,154738,4638,108,3,2.99732451,-33.45,-70.666667
Colombia,Colombia,COL,51832231,Latin America and the Caribbean,6085926,139660,117416,2694,2.294802796,39.91666667,116.383333
Comoros,Comoros,COM,902011,Africa,8093,160,8972,177,1.977017175,4.6,-74.083333
Cook Islands,Cook Islands,COK,17592,Oceania,2118,0,120396,0,0,-11.7,43.233333
Costa Rica,Costa Rica,CRI,5175547,Latin America and the Caribbean,839368,8308,162180,1605,0.98979232,-21.2,-159.766667
Croatia,Croatia,HRV,4060951,Europe,1102730,15601,271545,3842,1.414761546,9.933333333,-84.083333
Cuba,Cuba,CUB,11314513,Latin America and the Caribbean,1092547,8514,96562,752,0.779279976,45.8,16
Curaçao,Curaçao,CUW,165268,Latin America and the Caribbean,40671,267,246091,1616,0.656487423,23.11666667,-82.35
Cyprus,Cyprus,CYP,1222745,Asia,439964,947,359817,774,0.215244884,12.1,-68.916667
Czechia,Czech Republic,CZE,10743762,Europe,3830631,39720,356545,3697,1.036904886,35.16666667,33.366667
Denmark,Denmark,DNK,5827911,Europe,2919428,5762,500939,989,0.19736743,55.66666667,12.583333
Djibouti,Djibouti,DJI,1013146,Africa,15590,189,15388,187,1.212315587,11.58333333,43.15
